Printing array with 7202 lines:
1 pointer: 000001ECE2321313, len: 0 <>
6233 pointer: 000001ECE23220EB, len: 44 <   Twelfth Night approaches. Merry eves!(51)>
6234 pointer: 000001ECE2311BDE, len: 40 <   Twice in the year to fast were bound,>
6235 pointer: 000001ECE230D4DB, len: 36 <   Two cupboards, table, soft divan,>
6236 pointer: 000001ECE2335447, len: 33 <   Two dressed in uniform appear->
6237 pointer: 000001ECE231E678, len: 44 <   Two hearts, a torch, of flowers a wreath,>
6238 pointer: 000001ECE232F5B8, len: 37 <   Two hearts perchance were desolate>
6239 pointer: 000001ECE231C346, len: 37 <   Two minutes they in silence spent,>
6240 pointer: 000001ECE232C9F6, len: 45 <   Two pines have joined their tangled roots,>
6241 pointer: 000001ECE2322ED0, len: 35 <   Two poles together glued by ice,>
6242 pointer: 000001ECE23380B3, len: 34 <   'Twould serve ye in an epigram->
6243 pointer: 000001ECE2304E65, len: 32 <   Two verses he could recollect>
6244 pointer: 000001ECE233B4B2, len: 70 <   ultimately experienced the common destiny in those days, was thrown>
6245 pointer: 000001ECE2326F8A, len: 25 <   Undeviating and insane>
6246 pointer: 000001ECE2329263, len: 29 <   Undoubtedly, disdain alone>
6247 pointer: 000001ECE2322BE0, len: 36 <   Undressed herself and went to bed>
6248 pointer: 000001ECE2307D49, len: 69 <   une petite vergette faite expres, ouvrage qu'il continua fierement>
6249 pointer: 000001ECE2304C43, len: 36 <   [Unerring critics self-esteemed],>
6250 pointer: 000001ECE233479D, len: 25 <   Unfavourable unto her.>
6251 pointer: 000001ECE232A920, len: 22 <   unfriendly critic.]>
6252 pointer: 000001ECE2325C08, len: 29 <   Unhappily too salt by far;>
6253 pointer: 000001ECE230FD1D, len: 35 <   Unknown as yet the aching heart,>
6254 pointer: 000001ECE2336A42, len: 33 <   Unknown to all he doth appear,>
6255 pointer: 000001ECE233A51A, len: 33 <   Unknown to all, without a tie,>
6256 pointer: 000001ECE23397B1, len: 33 <   Unless forbidden fruit we eat,>
6257 pointer: 000001ECE2313CED, len: 66 <   unquestionable. It undoubtedly owes its origin to Burger's poem>
6258 pointer: 000001ECE23166D8, len: 59 <   unremunerative that land has often to be forced upon the>
6259 pointer: 000001ECE230FEC5, len: 36 <   Unseen in thick and tangled grass>
6260 pointer: 000001ECE2319958, len: 33 <   Unseen thou wast already dear.>
6261 pointer: 000001ECE231B48B, len: 42 <   Until her heart less high should bound->
6262 pointer: 000001ECE23235D2, len: 36 <   Until her powers of running fail.>
6263 pointer: 000001ECE2305F3C, len: 39 <   Until the sleepless Breguet chime(7)>
6264 pointer: 000001ECE23310D8, len: 34 <   Unto a carping world must show->
6265 pointer: 000001ECE232FA9B, len: 27 <   Unto Anicia for the keys>
6266 pointer: 000001ECE2315BA5, len: 32 <   Unto a ruthless tyrant dread.>
6267 pointer: 000001ECE233887C, len: 31 <   Unto her husband, went away->
6268 pointer: 000001ECE230D77F, len: 37 <   Unto his neighbour, man of thrift,>
6269 pointer: 000001ECE233C285, len: 28 <   Unto his own Tattiana he,>
6270 pointer: 000001ECE231A46E, len: 37 <   Unto our neighbour. Mind you tell->
6271 pointer: 000001ECE233120A, len: 37 <   Unto the fields she makes her way,>
6272 pointer: 000001ECE2331D47, len: 34 <   Unto the gates the servants fly>
6273 pointer: 000001ECE2327399, len: 28 <   Unto the hero of this lay>
6274 pointer: 000001ECE232473F, len: 31 <   Unto their solitude one day,>
6275 pointer: 000001ECE2336453, len: 33 <   Unto the sounding sea to list,>
6276 pointer: 000001ECE2329509, len: 33 <   Unto the windmill he must ride>
6277 pointer: 000001ECE2311CCD, len: 32 <   Upon a bunch of lovage green;>
6278 pointer: 000001ECE232E027, len: 33 <   Upon a soul inert and cloyed?->
6279 pointer: 000001ECE233AD05, len: 34 <   Upon her brow sits wrath alone->
6280 pointer: 000001ECE2327488, len: 30 <   Upon her cheek by adulation>
6281 pointer: 000001ECE231703C, len: 31 <   Upon her elbow she reclines,>
6282 pointer: 000001ECE2319F8E, len: 37 <   Upon her tongue which fever bakes.>
6283 pointer: 000001ECE232AA7C, len: 29 <   Upon his couch insensibly;>
6284 pointer: 000001ECE231ABBA, len: 25 <   Upon its damp opacity,>
6285 pointer: 000001ECE230C2E3, len: 32 <   Upon my lake I love to float,>
6286 pointer: 000001ECE232D1BE, len: 32 <   Upon my visions such intrude.>
6287 pointer: 000001ECE2308F61, len: 36 <   Upon the ball-room's glassy floor>
6288 pointer: 000001ECE230DB03, len: 37 <   Upon the Don's broad pastures bred>
6289 pointer: 000001ECE2308C68, len: 34 <   Upon the dreary northern snows,>
6290 pointer: 000001ECE231F746, len: 32 <   Upon the earth a mist did lie>
6291 pointer: 000001ECE2306437, len: 48 <      Upon the fields of Mars a gallant warrior,>
6292 pointer: 000001ECE230B598, len: 30 <   Upon the highway of the sea>
6293 pointer: 000001ECE232CB6A, len: 30 <   Upon the meadows showering,>
6294 pointer: 000001ECE231E55B, len: 33 <   Upon the opening page ye find:>
6295 pointer: 000001ECE230732B, len: 35 <   Upon the stage his weary glance.>
6296 pointer: 000001ECE232018F, len: 28 <   Upon the table in a trice>
6297 pointer: 000001ECE232FBA8, len: 32 <   Upon the tumbled sofa placed,>
6298 pointer: 000001ECE2321238, len: 28 <   Upon the windows tracery,>
6299 pointer: 000001ECE233082F, len: 35 <   Upon those margins she perceived>
6300 pointer: 000001ECE2314E29, len: 32 <   Upon those pages she descries>
6301 pointer: 000001ECE23088A9, len: 35 <   Upon your daughters keep an eye,>
6302 pointer: 000001ECE2327A78, len: 32 <   Up to the attic, and all need>
6303 pointer: 000001ECE23205FA, len: 36 <   Upward in a thin stream inclines.>
6304 pointer: 000001ECE230A3A7, len: 37 <   Urging your droshkies swift as air>
6305 pointer: 000001ECE231AC36, len: 64 <   urn for hot water having a fire in the center. We may observe>
6306 pointer: 000001ECE23268E5, len: 40 <   Us, and like Trojan warriors slay us;>
6307 pointer: 000001ECE2329497, len: 38 <   Use subterfuge, and thus his breast>
6308 pointer: 000001ECE2312D83, len: 37 <   Us from the world wherein we live.>
6309 pointer: 000001ECE230A312, len: 59 <   utterances under its influence for what they are worth.]>
6310 pointer: 000001ECE2304B8F, len: 4 <   V>
6311 pointer: 000001ECE231C138, len: 4 <   V>
6312 pointer: 000001ECE230DA8A, len: 4 <   V>
6313 pointer: 000001ECE2321ACF, len: 4 <   V>
6314 pointer: 000001ECE23284E9, len: 4 <   V>
6315 pointer: 000001ECE232E4F3, len: 4 <   V>
6316 pointer: 000001ECE23141F8, len: 4 <   V>
6317 pointer: 000001ECE233654E, len: 4 <   V>
6318 pointer: 000001ECE232C746, len: 39 <   Vanished his youthful years at last,>
6319 pointer: 000001ECE23368A8, len: 31 <   Variety of speech and vests,>
6320 pointer: 000001ECE231366C, len: 30 <   Verses and tears et cetera.>
6321 pointer: 000001ECE2332558, len: 61 <   verst-posts with milestones and substitute a graveyard for>
6322 pointer: 000001ECE231211D, len: 67 <   very far north, though an inhabitant of our own kitchen gardens.>
6323 pointer: 000001ECE2338CA7, len: 30 <   Vexation? Vanity? or strove>
6324 pointer: 000001ECE23286F9, len: 5 <   VI>
6325 pointer: 000001ECE2314408, len: 5 <   VI>
6326 pointer: 000001ECE232E6EC, len: 5 <   VI>
6327 pointer: 000001ECE2304D89, len: 5 <   VI>
6328 pointer: 000001ECE2321CEF, len: 5 <   VI>
6329 pointer: 000001ECE2336761, len: 5 <   VI>
6330 pointer: 000001ECE230DDA9, len: 5 <   VI>
6331 pointer: 000001ECE231C33D, len: 5 <   VI>
6332 pointer: 000001ECE23153C5, len: 35 <   Vice had due punishment awarded,>
6333 pointer: 000001ECE2315463, len: 31 <   Vice in romance is glorified>
6334 pointer: 000001ECE2310F6F, len: 39 <   Viewed them with not a little scorn,>
6335 pointer: 000001ECE232890C, len: 6 <   VII>
6336 pointer: 000001ECE231C53A, len: 6 <   VII>
6337 pointer: 000001ECE230DF9C, len: 6 <   VII>
6338 pointer: 000001ECE2336966, len: 6 <   VII>
6339 pointer: 000001ECE231461C, len: 6 <   VII>
6340 pointer: 000001ECE232E92A, len: 6 <   VII>
6341 pointer: 000001ECE2304F7D, len: 6 <   VII>
6342 pointer: 000001ECE2322051, len: 6 <   VII>
6343 pointer: 000001ECE232EB44, len: 7 <   VIII>
6344 pointer: 000001ECE231C742, len: 7 <   VIII>
6345 pointer: 000001ECE2322362, len: 7 <   VIII>
6346 pointer: 000001ECE230E1C1, len: 7 <   VIII>
6347 pointer: 000001ECE231482F, len: 7 <   VIII>
6348 pointer: 000001ECE230518B, len: 7 <   VIII>
6349 pointer: 000001ECE2336B6B, len: 7 <   VIII>
6350 pointer: 000001ECE2328B22, len: 7 <   VIII>
6351 pointer: 000001ECE230D155, len: 32 <   Villages in the distance show>
6352 pointer: 000001ECE231739D, len: 28 <   Virgins miraculous I see,>
6353 pointer: 000001ECE23153EA, len: 36 <   Virtue was with a bride rewarded.>
6354 pointer: 000001ECE2338B34, len: 39 <   Visions, now sad, now grateful, long>
6355 pointer: 000001ECE2337720, len: 66 <   visits of a ''demon.'' Russian society was moved to embody this>
6356 pointer: 000001ECE232A150, len: 31 <   Vladimir closes up his book,>
6357 pointer: 000001ECE231DE12, len: 32 <   Vladimir, hourly more a slave>
6358 pointer: 000001ECE232E85A, len: 35 <   ''_Vladimir Lenski lies beneath,>
6359 pointer: 000001ECE23128C8, len: 26 <   Vladimir Lenski visited>
6360 pointer: 000001ECE230DE3D, len: 32 <   Vladimir Lenski was his name,>
6361 pointer: 000001ECE2313B11, len: 33 <   Vladimir something curtly said>
6362 pointer: 000001ECE2328366, len: 29 <   Vladimir's property, a man>
6363 pointer: 000001ECE233627B, len: 31 <   Vociferously paid her court,>
6364 pointer: 000001ECE2325F5D, len: 36 <   Voices and hands applaud, and she>
6365 pointer: 000001ECE2328254, len: 64 <   (vol. i. p. 33): ''My fur cloak flew open, the cold seemed to>
6366 pointer: 000001ECE2306745, len: 33 <   Von Wisine, friend of liberty,>
6367 pointer: 000001ECE230ECA9, len: 29 <   Vows matrimonial to break,>
6368 pointer: 000001ECE232E1D2, len: 27 <   Wafted upon poetic wing,>
6369 pointer: 000001ECE230E23E, len: 32 <   Waiting his coming-his alone!>
6370 pointer: 000001ECE231FC96, len: 39 <   Walking? The landscape tires the eye>
6371 pointer: 000001ECE232D9F6, len: 34 <   Wallow, my friends, in company!>
6372 pointer: 000001ECE233B8B7, len: 9 <   War.''>
6373 pointer: 000001ECE2316E79, len: 63 <   ''warmer of the soul''-in French, chaufferette de l'âme. It>
6374 pointer: 000001ECE233A3D8, len: 36 <   Warmth I imagined in your glance,>
6375 pointer: 000001ECE23237A6, len: 41 <   ''Warm yourself here a little space!''>
6376 pointer: 000001ECE230D01C, len: 32 <   Was a delightful little spot,>
6377 pointer: 000001ECE23044D4, len: 34 <   Was born beside the Neva, where>
6378 pointer: 000001ECE2314C64, len: 65 <   was but fifty years ago, and had he lived to a ripe old age he>
6379 pointer: 000001ECE2314F50, len: 30 <   Was certainly no Grandison.>
6380 pointer: 000001ECE230E93B, len: 28 <   Was certainly not erudite>
6381 pointer: 000001ECE2312862, len: 52 <   was dissolved and a heavenly one was contracted.]>
6382 pointer: 000001ECE233D984, len: 30 <   Was drawn, ideal of my lay->
6383 pointer: 000001ECE2329DC9, len: 35 <   Was famous for thick-headedness.>
6384 pointer: 000001ECE230997B, len: 38 <   Was he in health and void of care?->
6385 pointer: 000001ECE23202CD, len: 34 <   Was it not so?-for thee I gave,>
6386 pointer: 000001ECE2319B4A, len: 36 <   Was it not thou, O vision bright,>
6387 pointer: 000001ECE2319BC2, len: 39 <   Was it not thou who thus didst stoop>
6388 pointer: 000001ECE2309C13, len: 37 <   Was nothing but the British spleen>
6389 pointer: 000001ECE2328C30, len: 36 <   Was not surprised thereby at all.>
6390 pointer: 000001ECE231537E, len: 32 <   Was ready for self-sacrifice,>
6391 pointer: 000001ECE230B7D8, len: 65 <   was seized on the coast of Africa when eight years of age by a>
6392 pointer: 000001ECE232A965, len: 40 <   Was sleeping then a sleep like death;>
6393 pointer: 000001ECE2307F74, len: 37 <   Was that which we are wont to call>
6394 pointer: 000001ECE23297D8, len: 36 <   Was the first question Olga made,>
6395 pointer: 000001ECE233C934, len: 36 <   Was the meek love a maiden feels.>
6396 pointer: 000001ECE23318BB, len: 35 <   Was the old and forgotten coach;>
6397 pointer: 000001ECE232EE25, len: 38 <   Was the sad poet filled with gloom,>
6398 pointer: 000001ECE232436B, len: 36 <   Was uttered, and the cabin shook->
6399 pointer: 000001ECE232BA05, len: 38 <   Was withered ere the morning light->
6400 pointer: 000001ECE2328F0C, len: 33 <   Was with himself dissatisfied.>
6401 pointer: 000001ECE232FDB8, len: 37 <   Was wont with me at cards to play.>
6402 pointer: 000001ECE231BA66, len: 33 <   Was worthy of that old baboon,>
6403 pointer: 000001ECE231629C, len: 37 <   Was younger than myself, my light,>
6404 pointer: 000001ECE2322612, len: 66 <   water which contains a ring. Each in her turn extracts the ring>
6405 pointer: 000001ECE2304B97, len: 28 <   We all of us of education>
6406 pointer: 000001ECE2331B33, len: 61 <   wealthy, all its luxuries following in their train. As the>
6407 pointer: 000001ECE231035D, len: 35 <   We are the first who such a name>
6408 pointer: 000001ECE233755A, len: 33 <   Wearied of leisure in the end,>
6409 pointer: 000001ECE230AC5D, len: 39 <   We called to mind our youthful days->
6410 pointer: 000001ECE231638A, len: 42 <   Weeping they loosed my tresses long(36)>
6411 pointer: 000001ECE2327249, len: 33 <   We glide along a floor of wax.>
6412 pointer: 000001ECE230F7D9, len: 32 <   We hear with interest intense>
6413 pointer: 000001ECE232BEA6, len: 38 <   Well, if your pistol ball by chance>
6414 pointer: 000001ECE2313A14, len: 41 <   ''Well!''-''I the elder should prefer,>
6415 pointer: 000001ECE2329779, len: 35 <   Well! just as she was yesterday.>
6416 pointer: 000001ECE233AD9D, len: 33 <   Well known unto Oneguine mine.>
6417 pointer: 000001ECE23138A3, len: 29 <   Well! Larina appears to us>
6418 pointer: 000001ECE232F3DB, len: 42 <   Well nigh her heart in twain was cleft.>
6419 pointer: 000001ECE2310456, len: 33 <   We must admit but little taste>
6420 pointer: 000001ECE23161D6, len: 35 <   ''We never loved in days of old,>
6421 pointer: 000001ECE2313A3F, len: 35 <   Were I like you a bard by trade->
6422 pointer: 000001ECE231F71D, len: 39 <   Were stripped with melancholy sound,>
6423 pointer: 000001ECE230F39F, len: 30 <   Were to analysis subjected.>
6424 pointer: 000001ECE2316175, len: 43 <   Were you in love when you were young?''->
6425 pointer: 000001ECE2314949, len: 35 <   Werther, rebellious martyr bold,>
6426 pointer: 000001ECE2333D37, len: 42 <   We Russians, friends from distant parts>
6427 pointer: 000001ECE231D4F6, len: 32 <   We visit about Christmas Day,>
6428 pointer: 000001ECE233A2DB, len: 33 <   What acrimonious scorn I trace>
6429 pointer: 000001ECE232DEC1, len: 27 <   What agitation languidly>
6430 pointer: 000001ECE2315FD2, len: 48 <   ''What ails thee, dear?''-''I feel depressed.>
6431 pointer: 000001ECE2329FE4, len: 47 <   ''What ails thee?''-''Nothing.''-He is fled.>
6432 pointer: 000001ECE233CEFF, len: 38 <   What are they? Gladly would I yield>
6433 pointer: 000001ECE233D2CF, len: 32 <   What a storm of emotions keen>
6434 pointer: 000001ECE2315B5A, len: 38 <   What bitter tears with thee I shed!>
6435 pointer: 000001ECE2307EDC, len: 40 <   What boots it with the age to strive?>
6436 pointer: 000001ECE2330C00, len: 41 <   ''What can be done? She is no child!''>
6437 pointer: 000001ECE231C963, len: 41 <   ''What can be drearier than the house,>
6438 pointer: 000001ECE233A321, len: 37 <   What do I ask? What cause assigned>
6439 pointer: 000001ECE2336C10, len: 39 <   What doth he act? Is it Melmoth,(80)>
6440 pointer: 000001ECE232391D, len: 38 <   What doth she see? Around the board>
6441 pointer: 000001ECE231BB8D, len: 33 <   What everybody long has known;>
6442 pointer: 000001ECE23337B7, len: 43 <   ''What! Grandison?''-''Yes, certainly!''>
6443 pointer: 000001ECE2338C32, len: 44 <   What hath he dreamed? What hath occurred?>
6444 pointer: 000001ECE231D442, len: 32 <   What I by relatives conceive?>
6445 pointer: 000001ECE2305DCB, len: 34 <   What, invitations? The same day>
6446 pointer: 000001ECE2336BEE, len: 32 <   What is his latest character?>
6447 pointer: 000001ECE231A674, len: 32 <   What is thy cleverness to me?>
6448 pointer: 000001ECE23229CA, len: 48 <   ''What is your name?'' The boor looked dazed,>
6449 pointer: 000001ECE23142DD, len: 37 <   What jokes and guesses now abound,>
6450 pointer: 000001ECE230572F, len: 39 <   What languor would his silence show,>
6451 pointer: 000001ECE2304B3B, len: 43 <   What more's required? The world replies,>
6452 pointer: 000001ECE231EBAF, len: 35 <   What never was remarked or heard>
6453 pointer: 000001ECE23160D8, len: 36 <   What once I knew is clean forgot->
6454 pointer: 000001ECE231C90D, len: 37 <   What pleasures Hymen would prepare>
6455 pointer: 000001ECE23135D7, len: 36 <   What! really going? 'Tis too bad!>
6456 pointer: 000001ECE232DF04, len: 34 <   What sad emotions o'er me steal>
6457 pointer: 000001ECE23338CF, len: 31 <   What say you? to the family->
6458 pointer: 000001ECE2313790, len: 35 <   What they in conversation said?->
6459 pointer: 000001ECE233C6DE, len: 40 <   What visions then her fancy thronged->
6460 pointer: 000001ECE232A2DD, len: 36 <   What will the coming dawn reveal?>
6461 pointer: 000001ECE232F166, len: 40 <   When all around the entrance pressed,>
6462 pointer: 000001ECE231163A, len: 39 <   When angry beat her maids, I grieve,>
6463 pointer: 000001ECE230FCFC, len: 31 <   When but a boy he Olga loved>
6464 pointer: 000001ECE231B59D, len: 38 <   When captured in a schoolboy's cap;>
6465 pointer: 000001ECE233DC80, len: 70 <   whence he was ransomed by a merchant whose daughter he subsequently>
6466 pointer: 000001ECE232C05D, len: 35 <   When deaf and silent he doth lie>
6467 pointer: 000001ECE231E99D, len: 36 <   Whene'er a brilliant courtly dame>
6468 pointer: 000001ECE232CC27, len: 37 <   Whene'er across the plain at speed>
6469 pointer: 000001ECE2309B2F, len: 34 <   Whene'er he had an aching head;>
6470 pointer: 000001ECE231B6E3, len: 36 <   When Eugene like a ghost did rise>
6471 pointer: 000001ECE2320098, len: 41 <   When evening o'er the landscape looms,>
6472 pointer: 000001ECE232DF28, len: 34 <   When first upon my cheek I feel>
6473 pointer: 000001ECE230E017, len: 43 <   When Friendship smiled or Love caressed.>
6474 pointer: 000001ECE231741F, len: 38 <   When harsh demeanour hath consigned>
6475 pointer: 000001ECE232171D, len: 35 <   When he in ardent verse portrays>
6476 pointer: 000001ECE2328215, len: 61 <   when he was frostbitten whilst sledging in Russia. He says>
6477 pointer: 000001ECE232C30F, len: 44 <   When hope's delightful flower but bloomed>
6478 pointer: 000001ECE231D774, len: 35 <   When in as instant she is lost,->
6479 pointer: 000001ECE2321DF8, len: 35 <   When in her walks abroad she met>
6480 pointer: 000001ECE231CAA7, len: 30 <   When in simplicity ye wrote>
6481 pointer: 000001ECE2323BBA, len: 31 <   When in that company she saw>
6482 pointer: 000001ECE2326AE9, len: 37 <   When in the grand saloon was heard>
6483 pointer: 000001ECE23303A4, len: 36 <   When in the study's calm retreat,>
6484 pointer: 000001ECE23327D5, len: 31 <   When I yon semicircle bright>
6485 pointer: 000001ECE232BFF1, len: 36 <   When motionless your gaze beneath>
6486 pointer: 000001ECE23206E4, len: 42 <   When o'er a glass with friends we prate>
6487 pointer: 000001ECE2310C86, len: 33 <   When on the pallid eastern sky>
6488 pointer: 000001ECE230F721, len: 38 <   When Passion's fire no longer glows>
6489 pointer: 000001ECE2311C53, len: 36 <   When people with long countenance>
6490 pointer: 000001ECE231EE2E, len: 31 <   When poets lachrymose recite>
6491 pointer: 000001ECE231790A, len: 36 <   When separation's hour drew nigh,>
6492 pointer: 000001ECE230B5B8, len: 36 <   When shall I wing my passage free>
6493 pointer: 000001ECE233BF4A, len: 34 <   When, sitting by his fire alone>
6494 pointer: 000001ECE23264EB, len: 40 <   When tea was brought. 'Tis my delight>
6495 pointer: 000001ECE230CCED, len: 43 <   When that time comes, a poem I'll strive>
6496 pointer: 000001ECE232F0D3, len: 38 <   When the hour came to bid good-bye->
6497 pointer: 000001ECE2327184, len: 33 <   When the mazurka used to peal,>
6498 pointer: 000001ECE2310953, len: 34 <   When the obedient doll in sport>
6499 pointer: 000001ECE2309855, len: 37 <   When the same life before him lies>
6500 pointer: 000001ECE230653B, len: 34 <   When the sonorous Breguet tells>
6501 pointer: 000001ECE2322119, len: 47 <   When thoughtless youth whom nothing grieves,>
6502 pointer: 000001ECE2331EAF, len: 36 <   When to enlarge we shall succeed,>
6503 pointer: 000001ECE2308B80, len: 40 <   When, where, and in what desert land,>
6504 pointer: 000001ECE230B502, len: 37 <   When will my hour of freedom come!>
6505 pointer: 000001ECE230435C, len: 38 <   When will the devil take his own!''>
6506 pointer: 000001ECE230F6D6, len: 39 <   When, wise at length, we seek repose>
6507 pointer: 000001ECE2304966, len: 41 <   When youth's rebellious hour drew near>
6508 pointer: 000001ECE23389FE, len: 36 <   Where all upon the surface lies,->
6509 pointer: 000001ECE2318F8D, len: 41 <   Where art thou? Come! pretensions mine>
6510 pointer: 000001ECE232DB63, len: 16 <   Where better?>
6511 pointer: 000001ECE232C9CF, len: 37 <   Where dwelt the Muses' worshipper,>
6512 pointer: 000001ECE230662E, len: 40 <   Where each young critic ready stands,>
6513 pointer: 000001ECE2337922, len: 34 <   Where every day before his eyes>
6514 pointer: 000001ECE231D2EB, len: 33 <   Where fashionable circles meet>
6515 pointer: 000001ECE233CAF6, len: 36 <   Wherefore am I your quarry held?->
6516 pointer: 000001ECE2336DAF, len: 34 <   Wherefore regarding him express>
6517 pointer: 000001ECE232205B, len: 36 <   Wherefore? She found a secret joy>
6518 pointer: 000001ECE231136A, len: 38 <   Where God alone knows whom she met.>
6519 pointer: 000001ECE232D949, len: 34 <   Where harsh frivolity proclaims>
6520 pointer: 000001ECE2306E70, len: 34 <   Where I can no more recollect?->
6521 pointer: 000001ECE232FB3A, len: 34 <   Wherein a space Oneguine spent.>
6522 pointer: 000001ECE230B6D9, len: 34 <   Wherein I buried left my heart.>
6523 pointer: 000001ECE233B08F, len: 29 <   Wherein I castigation get;>
6524 pointer: 000001ECE230B6B3, len: 36 <   Wherein I felt love's fatal dart,>
6525 pointer: 000001ECE23170A1, len: 33 <   Wherein love innocently pines.>
6526 pointer: 000001ECE233D022, len: 37 <   Wherein my poor old nurse doth lie>
6527 pointer: 000001ECE23077E9, len: 38 <   Wherein the child of fashion strict>
6528 pointer: 000001ECE232E5EF, len: 35 <   Where in the country Eugene yet,>
6529 pointer: 000001ECE23389D4, len: 40 <   Wherein the heart its vows expressed,>
6530 pointer: 000001ECE231C98E, len: 29 <   Wherein the miserable wife>
6531 pointer: 000001ECE231C315, len: 36 <   Wherein we lately left the twain.>
6532 pointer: 000001ECE231D7F9, len: 36 <   Where is he who doth not deceive?>
6533 pointer: 000001ECE23094CB, len: 34 <   Where is Oneguine? Half asleep,>
6534 pointer: 000001ECE232CEF4, len: 38 <   Where is the outlaw, banned by men,>
6535 pointer: 000001ECE230E773, len: 33 <   Where long time he in solitude>
6536 pointer: 000001ECE232DB75, len: 34 <                 Where man is not.>
6537 pointer: 000001ECE231E367, len: 37 <   Where many another hand had signed>
6538 pointer: 000001ECE2318FFF, len: 31 <   Where melancholy rocks arise>
6539 pointer: 000001ECE232D65B, len: 34 <   Where my days in the wilderness>
6540 pointer: 000001ECE2336476, len: 33 <   Where Nereids murmur evermore,>
6541 pointer: 000001ECE230FAA2, len: 34 <   Where plentifully feelings flow>
6542 pointer: 000001ECE23351EE, len: 37 <   Where shining runs the tiny brook,>
6543 pointer: 000001ECE230E4A2, len: 40 <   Where sometime Goethe, Schiller sung,>
6544 pointer: 000001ECE233CFDA, len: 41 <   Where the first time I saw your face,->
6545 pointer: 000001ECE2335264, len: 43 <   Where the first time she met with _him_.>
6546 pointer: 000001ECE232DA90, len: 35 <   Where thine equal shall we find?>
6547 pointer: 000001ECE2328D7B, len: 32 <   Whereto in language courteous>
6548 pointer: 000001ECE2331E13, len: 34 <   Where turmoil cannot penetrate,>
6549 pointer: 000001ECE2313583, len: 41 <   Where-''-''What! another eclogue spin?>
6550 pointer: 000001ECE233ACA6, len: 43 <   Where, where, remorse, compassion, pain?>
6551 pointer: 000001ECE233ACD3, len: 48 <   Where, where, the trace of tears? None, none!>
6552 pointer: 000001ECE232D2B6, len: 47 <   Where youth (the proper rhyme is fleetness)?>
6553 pointer: 000001ECE230C6CB, len: 37 <   Which afterwards the muse revived.>
6554 pointer: 000001ECE231E46D, len: 46 <   Which all her darling friends have scrawled>
6555 pointer: 000001ECE2332A35, len: 69 <   which are surmounted by a golden cross. At the time of sunset they>
6556 pointer: 000001ECE2327C65, len: 62 <   which a Russian hostess will turn her house topsy-turvy for>
6557 pointer: 000001ECE230B423, len: 62 <   which, at all events in its earlier developments, was of an>
6558 pointer: 000001ECE232E0A4, len: 40 <   Which Autumn late to earth consigned,>
6559 pointer: 000001ECE2339876, len: 37 <   Which crushing dignity must brook!>
6560 pointer: 000001ECE231FC38, len: 38 <   Which falls in starry flakes below.>
6561 pointer: 000001ECE231E892, len: 41 <   Which from the devil's bookcase start,>
6562 pointer: 000001ECE230FCC9, len: 37 <   Which glowed with virginal desire.>
6563 pointer: 000001ECE232E715, len: 33 <   Which in a hilly neighbourhood>
6564 pointer: 000001ECE2337FA2, len: 31 <   Which in the elevated sphere>
6565 pointer: 000001ECE232E562, len: 34 <   Which in the winter were a joy:>
6566 pointer: 000001ECE232BFCD, len: 34 <   Which in your spirit dominates,>
6567 pointer: 000001ECE2330A2B, len: 32 <   Which is he? or an imitation,>
6568 pointer: 000001ECE233B06D, len: 32 <   Which lessons unto us repeat,>
6569 pointer: 000001ECE231E3F7, len: 34 <   Which might for many ages last.>
6570 pointer: 000001ECE2310FE2, len: 41 <   Which 'neath her pillow lay till morn.>
6571 pointer: 000001ECE231BBEF, len: 33 <   Which never have existed, e'en>
6572 pointer: 000001ECE2331FDA, len: 37 <   Which o'er the waters boldly leap,>
6573 pointer: 000001ECE2333B8E, len: 36 <   Which of approaching labour tells>
6574 pointer: 000001ECE233578A, len: 66 <   which original genius, emancipated from the strait-waistcoat of>
6575 pointer: 000001ECE23052C3, len: 32 <   Which Ovid once immortalized,>
6576 pointer: 000001ECE2318129, len: 64 <   which Pushkin himself together with his uncle Vassili Pushkin>
6577 pointer: 000001ECE2329BFB, len: 38 <   Which rankled in Tattiana's breast,>
6578 pointer: 000001ECE2309100, len: 36 <   Which rushed in eager dense array>
6579 pointer: 000001ECE2308464, len: 37 <   Which shines with iridescent hues.>
6580 pointer: 000001ECE231B6B8, len: 41 <   Which to the neighbouring alley leads,>
6581 pointer: 000001ECE230FAC6, len: 33 <   Which we experienced long ago.>
6582 pointer: 000001ECE231D2BD, len: 44 <   Which your true friend with a sweet smile>
6583 pointer: 000001ECE2316D66, len: 38 <   Whilst all creation seemed to dream>
6584 pointer: 000001ECE233BF6E, len: 36 <   Whilst cheerily the embers shone,>
6585 pointer: 000001ECE230F420, len: 37 <   Whilst Eugene condescending quite,>
6586 pointer: 000001ECE23352E4, len: 44 <   Whilst from her countenance ne'er stirred>
6587 pointer: 000001ECE23252A3, len: 40 <   Whilst he ''belle Nina'' had the face>
6588 pointer: 000001ECE2313720, len: 39 <   Whilst homeward by the nearest route>
6589 pointer: 000001ECE2339958, len: 39 <   Whilst Morpheus his approach delays,>
6590 pointer: 000001ECE230D19C, len: 39 <   Whilst nearer, sunk in deeper shade,>
6591 pointer: 000001ECE2327E0D, len: 39 <   Whilst on the floor Monsieur Triquet>
6592 pointer: 000001ECE230951A, len: 38 <   Whilst Petersburg from slumber deep>
